#depth	LID	stdev (%)
depth	LID	rel_unc	comment
1133.7204	67.6962	0.1
1135.5859	67.7974	0.1
1137.3344	67.809	0.1
1139.1291	67.8056	0.1
1141.0528	67.8576	0.1
1142.8852	67.9029	0.1
1144.8481	67.9177	0.1
1146.6462	67.8486	0.1
1148.4077	67.8105	0.1
1150.1196	67.8424	0.1
1152.0138	67.9847	0.1
1153.8762	68.0967	0.1
1155.6203	68.2155	0.1
1157.4759	68.3212	0.1
1159.4128	68.3887	0.1
1161.3779	68.4584	0.1
1163.0558	68.5002	0.1
1164.8581	68.4171	0.1
1166.5172	68.3223	0.1
1168.3531	68.1609	0.1
1170.2452	68.0581	0.1
1172.0507	68.1099	0.1
1174.0167	68.1868	0.1
1175.8904	68.1926	0.1
1177.5894	68.1092	0.1
1179.3215	68.0463	0.1
1181.0386	68.0466	0.1
1182.8448	68.1437	0.1
1184.661	68.2932	0.1
1186.4646	68.3863	0.1
1188.3701	68.4565	0.1
1190.2946	68.4451	0.1
1192.1178	68.3889	0.1
1193.8294	68.2441	0.1
1195.5432	68.1795	0.1
1197.3199	68.1394	0.1
1199.1879	68.2606	0.1
1201.0656	68.4726	0.1
1202.9591	68.5396	0.1
1204.6173	68.5936	0.1
1206.2066	68.5058	0.1
1208.0081	68.3408	0.1
1209.7154	68.3064	0.1
1211.4463	68.2988	0.1
1213.1007	68.4048	0.1
1214.7565	68.589	0.1
1216.5106	68.7013	0.1
1218.2758	68.7831	0.1
1220.2216	68.7371	0.1
1222.1038	68.6005	0.1
1223.6729	68.4025	0.1
1225.4761	68.213	0.1
1227.1947	68.1482	0.1
1229.0605	68.2056	0.1
1230.7631	68.2536	0.1
1232.4676	68.1249	0.1
1234.0809	67.9172	0.1
1236.0004	67.742	0.1
1237.6933	67.7624	0.1
1239.5509	67.8322	0.1
1241.2864	67.9289	0.1
1242.8155	68.0057	0.1
1244.5003	68.0528	0.1
1246.1653	68.1917	0.1
1247.6611	68.3894	0.1
1249.4933	68.5128	0.1
1251.248	68.5098	0.1
1252.8823	68.3267	0.1
1254.558	68.1856	0.1
1256.2614	68.1255	0.1
1257.8598	68.1265	0.1
1259.6711	68.1416	0.1
1261.2928	68.066	0.1
1262.8295	67.9966	0.1
1264.3686	67.9597	0.1
1266.0065	67.9997	0.1
1267.6369	67.9543	0.1
1269.2393	67.8422	0.1
1270.8286	67.6001	0.1
1272.5156	67.3899	0.1
1274.1671	67.2996	0.1
1275.8451	67.2924	0.1
1277.406	67.392	0.1
1278.9546	67.5222	0.1
1280.5593	67.5313	0.1
1282.0389	67.4747	0.1
1283.6086	67.3611	0.1
1285.2294	67.1934	0.1
1286.7695	67.1012	0.1
1288.323	67.0693	0.1
1289.783	66.9207	0.1
1291.3825	66.7716	0.1
1292.9195	66.645	0.1
1294.3848	66.6571	0.1
1296.0551	66.7576	0.1
1297.674	66.8407	0.1
1299.2756	66.8534	0.1
1300.8449	66.8269	0.1
1302.27	66.7898	0.1
1303.901	66.7457	0.1
1305.542	66.6052	0.1
1307.008	66.4644	0.1
1308.638	66.3984	0.1
1310.235	66.3353	0.1
1311.888	66.4096	0.1
1313.386	66.469	0.1
1314.951	66.5197	0.1
1316.526	66.562	0.1
1317.927	66.5865	0.1
1319.327	66.6375	0.1
1320.815	66.7546	0.1
1322.38	66.8487	0.1
1323.945	66.9626	0.1
1325.509	66.9855	0.1
1327.063	66.9594	0.1
1328.561	66.9202	0.1
1330.17	66.8087	0.1
1331.734	66.8215	0.1
1333.31	66.8197	0.1
1334.962	66.7967	0.1
1336.505	66.7888	0.1
1338.091	66.6984	0.1
1339.743	66.635	0.1
1341.275	66.4888	0.1
1342.719	66.336	0.1
1344.207	66.217	0.1
1345.859	66.1466	0.1
1347.27	66.2097	0.1
1348.78	66.3534	0.1
1350.323	66.5889	0.1
1351.789	66.77	0.1
1353.365	66.8554	0.1
1354.863	66.8975	0.1
1356.417	66.8805	0.1
1357.85	66.8971	0.1
1359.36	66.905	0.1
1361.045	66.9109	0.1
1362.643	66.8891	0.1
1364.229	66.7933	0.1
1365.706	66.6849	0.1
1367.183	66.6138	0.1
1368.769	66.5079	0.1
1370.246	66.4404	0.1
1371.953	66.4166	0.1
1373.43	66.4317	0.1
1375.038	66.4869	0.1
1376.494	66.5381	0.1
1378.047	66.574	0.1
1379.71	66.6777	0.1
1381.242	66.76	0.1
1382.807	66.817	0.1
1384.327	66.9001	0.1
1385.925	67.0233	0.1
1387.467	67.1731	0.1
1389.119	67.2991	0.1
1390.531	67.3038	0.1
1392.117	67.2274	0.1
1393.748	67.1053	0.1
1395.29	67.169	0.1
1396.701	67.2948	0.1
1398.299	67.4308	0.1
1399.765	67.5292	0.1
1401.308	67.496	0.1
1402.873	67.4762	0.1
1404.415	67.4334	0.1
1405.87	67.497	0.1
1407.358	67.5442	0.1
1408.802	67.5942	0.1
1410.306	67.5885	0.1
1411.811	67.5225	0.1
1413.31	67.5105	0.1
1414.83	67.4609	0.1
1416.362	67.4353	0.1
1417.818	67.3672	0.1
1419.338	67.38	0.1
1420.782	67.3395	0.1
1422.281	67.3156	0.1
1423.846	67.217	0.1
1425.104	67.1919	0.1
1426.691	67.1625	0.1
1428.157	67.2415	0.1
1429.666	67.2525	0.1
1431.067	67.2306	0.1
1432.588	67.163	0.1
1433.944	67.0773	0.1
1435.301	67.054	0.1
1436.712	67.0865	0.1
1438.233	67.1397	0.1
1439.699	67.1666	0.1
1441.165	67.1593	0.1
1442.61	67.1256	0.1
1444.087	67.0867	0.1
1445.596	67.0453	0.1
1446.997	67.0058	0.1
1448.572	66.9484	0.1
1450.06	66.9352	0.1
1451.526	66.8815	0.1
1453.014	66.9622	0.1
1454.502	66.96	0.1
1455.968	66.9685	0.1
1457.336	66.9362	0.1
1458.747	66.9058	0.1
1460.235	66.8899	0.1
1461.614	66.9468	0.1
1462.894	67.0876	0.1
1464.283	67.2277	0.1
1465.531	67.4255	0.1
1467.041	67.5236	0.1
1468.364	67.5136	0.1
1469.732	67.4931	0.1
1471.165	67.4782	0.1
1472.424	67.4612	0.1
1473.627	67.4534	0.1
1474.929	67.3958	0.1
1476.319	67.2713	0.1
1477.752	67.1355	0.1
1479.098	66.944	0.1
1480.443	66.7656	0.1
1481.625	66.6034	0.1
1482.905	66.4776	0.1
1484.163	66.2837	0.1
1485.476	66.1228	0.1
1486.898	65.9621	0.1
1488.222	65.8282	0.1
1489.47	65.7562	0.1
1490.695	65.6621	0.1
1491.997	65.6817	0.1
1493.397	65.6452	0.1
1494.677	65.5563	0.1
1495.848	65.4435	0.1
1497.227	65.2768	0.1
1498.572	65.203	0.1
1499.743	65.1837	0.1
1501.045	65.2547	0.1
1502.292	65.3161	0.1
1503.496	65.3255	0.1
1504.787	65.2015	0.1
1506.001	65.0029	0.1
1507.172	64.9006	0.1
1508.43	64.8814	0.1
1509.688	64.9886	0.1
1510.968	65.0677	0.1
1512.325	65.0722	0.1
1513.561	64.9293	0.1
1514.885	64.7895	0.1
1516.122	64.7387	0.1
1517.358	64.7703	0.1
1518.682	64.7974	0.1
1520.017	64.7104	0.1
1521.319	64.6556	0.1
1522.664	64.587	0.1
1523.966	64.5706	0.1
1525.17	64.5529	0.1
1526.406	64.5301	0.1
1527.828	64.5709	0.1
1529.24	64.6717	0.1
1530.443	64.7439	0.1
1531.734	64.8774	0.1
1532.927	65.0317	0.1
1534.152	65.2189	0.1
1535.378	65.3863	0.1
1536.734	65.5373	0.1
1538.058	65.5614	0.1
1539.294	65.5778	0.1
1540.476	65.5709	0.1
1541.68	65.5839	0.1
1542.971	65.7107	0.1
1544.273	65.8316	0.1
1545.509	65.9041	0.1
1546.855	65.8847	0.1
1548.091	65.8027	0.1
1549.305	65.7295	0.1
1550.553	65.7207	0.1
1551.713	65.7886	0.1
1552.981	65.8149	0.1
1554.349	65.7375	0.1
1555.64	65.6063	0.1
1556.855	65.4678	0.1
1558.091	65.4668	0.1
1559.327	65.5673	0.1
1560.411	65.6273	0.1
1561.68	65.7437	0.1
1562.916	65.7277	0.1
1564.163	65.6504	0.1
1565.454	65.6058	0.1
1566.636	65.6535	0.1
1567.949	65.794	0.1
1569.163	65.9141	0.1
1570.41	65.9899	0.1
1571.68	65.975	0.1
1572.905	65.9198	0.1
1574.174	65.9057	0.1
1575.41	65.889	0.1
1576.614	65.9946	0.1
1577.839	66.1358	0.1
1578.999	66.1468	0.1
1580.246	66.1086	0.1
1581.581	65.9633	0.1
1582.763	65.8659	0.1
1584.076	65.9007	0.1
1585.192	65.9723	0.1
1586.614	66.1077	0.1
1587.785	66.2557	0.1
1588.933	66.3341	0.1
1590.093	66.3085	0.1
1591.297	66.3123	0.1
1592.653	66.2916	0.1
1593.923	66.257	0.1
1595.203	66.2622	0.1
1596.439	66.2149	0.1
1597.675	66.223	0.1
1598.966	66.2099	0.1
1600.236	66.1481	0.1
1601.45	66.136	0.1
1602.73	66.1601	0.1
1604.032	66.2479	0.1
1605.224	66.3664	0.1
1606.395	66.395	0.1
1607.555	66.4635	0.1
1608.879	66.414	0.1
1610.082	66.4348	0.1
1611.362	66.3653	0.1
1612.588	66.3476	0.1
1613.737	66.3817	0.1
1614.863	66.49	0.1
1616.056	66.6989	0.1
1617.292	66.8335	0.1
1618.474	66.8311	0.1
1619.863	66.7687	0.1
1621.045	66.6532	0.1
1622.164	66.6373	0.1
1623.31	66.597	0.1
1624.48	66.5632	0.1
1625.717	66.5108	0.1
1626.811	66.4669	0.1
1627.905	66.3775	0.1
1629.065	66.2694	0.1
1630.257	66.1178	0.1
1631.395	66.0219	0.1
1632.643	66.0529	0.1
1633.838	66.053	0.1
1634.929	66.0211	0.1
1636.122	65.8842	0.1
1637.325	65.7714	0.1
1638.441	65.7014	0.1
1639.568	65.7827	0.1
1640.651	65.85	0.1
1641.723	65.9218	0.1
1642.806	65.9248	0.1
1643.955	65.7662	0.1
1645.049	65.5563	0.1
1646.297	65.364	0.1
1647.402	65.2696	0.1
1648.616	65.3146	0.1
1649.82	65.2724	0.1
1650.98	65.2261	0.1
1652.172	65.2034	0.1
1653.266	65.3014	0.1
1654.418	65.3742	0.1
1655.542	65.3968	0.1
1656.756	65.3006	0.1
1657.861	65.1614	0.1
1658.879	65.0501	0.1
1660.028	64.9521	0.1
1661.128	64.8945	0.1
1662.303	64.8459	0.1
1663.365	64.8184	0.1
1664.513	64.8629	0.1
1665.706	65.0085	0.1
1666.92	65.1589	0.1
1668.047	65.3137	0.1
1669.196	65.4149	0.1
1670.334	65.4257	0.1
1671.483	65.3813	0.1
1672.577	65.2838	0.1
1673.726	65.1987	0.1
1674.984	65.0882	0.1
1676.111	64.9627	0.1
1677.216	64.9249	0.1
1678.179	64.8981	0.1
1679.404	64.9022	0.1
1680.421	64.8395	0.1
