#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
271.904	1041	2
272.112	1042	2
272.287	1043	2
272.484	1044	2
272.67	1045	2
272.91	1046	2
273.096	1047	2
273.26	1048	2
273.556	1049	2
273.851	1050	2
274.103	1051	2
274.3	1052	2
274.628	1053	2
274.924	1054	2
275.131	1055	2
275.35	1056	2
275.657	1057	2
275.843	1058	2
276.094	1059	2
276.357	1060	2
276.641	1061	2
276.893	1062	2
277.156	1063	2
277.341	1064	2
277.549	1065	2
277.878	1066	2
278.162	1067	2
278.436	1068	2
278.687	1069	2
278.928	1070	2
279.191	1071	2
279.431	1072	2
279.639	1073	2
279.935	1074	2
280.153	1075	2
280.372	1076	2
280.635	1077	2
280.875	1078	2
281.061	1079	2
281.335	1080	2
281.63	1081	2
281.86	1082	2
282.002	1083	2
282.243	1084	2
282.44	1085	2
282.703	1086	2
282.987	1087	2
283.206	1088	2
283.545	1089	2
283.862	1090	2
284.092	1091	2
284.267	1092	2
284.442	1093	2
284.683	1094	2
284.847	1095	2
285.077	1096	2
285.307	1097	2
285.503	1098	2
285.744	1099	2
286.018	1100	2
286.28	1101	2
286.466	1102	2
286.707	1103	2
286.926	1104	2
287.079	1105	2
287.363	1106	2
287.604	1107	2
287.834	1108	2
288.053	1109	2
288.348	1110	2
288.676	1111	2
288.895	1112	2
289.114	1113	2
289.289	1114	2
289.453	1115	2
289.705	1116	2
289.935	1117	2
290.164	1118	2
290.416	1119	2
290.613	1120	2
290.952	1121	2
291.138	1122	2
291.357	1123	2
291.63	1124	2
291.849	1125	2
292.013	1126	2
292.254	1127	2
292.538	1128	2
292.746	1129	2
292.954	1130	2
293.217	1131	2
293.479	1132	2
293.72	1133	2
293.906	1134	2
294.103	1135	2
294.377	1136	2
294.628	1137	2
294.814	1138	2
295.022	1139	2
295.208	1140	2
295.493	1141	2
295.755	1142	2
295.941	1143	2
296.138	1144	2
296.335	1145	2
296.63	1146	2
296.86	1147	2
297.09	1148	2
297.32	1149	2
297.549	1150	2
297.845	1151	2
298.075	1152	2
298.381	1153	2
298.589	1154	2
298.764	1155	2
299.059	1156	2
299.278	1157	2
299.508	1158	2
299.727	1159	2
299.946	1160	2
300.142	1161	2
300.383	1162	2
300.58	1163	2
300.854	1164	2
301.061	1165	2
301.302	1166	2
301.597	1167	2
301.838	1168	2
302.035	1169	2
302.221	1170	2
302.473	1171	2
302.735	1172	2
302.954	1173	2
303.151	1174	2
303.457	1175	1
303.676	1176	1
303.884	1177	2
304.103	1178	2
304.398	1179	2
304.661	1180	2
304.935	1181	2
305.153	1182	2
305.394	1183	2
305.646	1184	2
305.875	1185	2
306.083	1186	2
306.346	1187	2
306.598	1188	2
306.827	1189	2
307.002	1190	2
307.221	1191	2
307.44	1192	2
307.692	1193	2
307.998	1194	2
308.337	1195	2
308.556	1196	2
308.797	1197	2
309.037	1198	2
309.333	1199	2
309.552	1200	2.1
309.792	1201	2.1
310.033	1202	2.1
310.241	1203	2.1
310.503	1204	2.1
310.711	1205	2.1
310.985	1206	2.1
311.215	1207	2.1
311.39	1208	2.1
311.554	1209	2.1
311.816	1210	2.1
312.112	1211	2.1
312.407	1212	2.1
312.681	1213	2.1
312.878	1214	2.1
313.096	1215	2.1
313.348	1216	2.1
313.709	1217	2.1
313.95	1218	2.1
314.179	1219	2.1
314.42	1220	2.1
314.617	1221	2.1
314.869	1222	2.1
315.099	1223	2.1
315.361	1224	2.1
315.569	1225	2.1
315.854	1226	2.1
316.083	1227	2.1
316.324	1228	2.1
316.598	1229	2.1
316.86	1230	2.1
317.101	1231	2.1
317.352	1232	2.1
317.626	1233	2.1
317.878	1234	2.1
318.107	1235	2.1
318.304	1236	2.1
318.611	1237	2.1
318.895	1238	2.1
319.136	1239	2.1
319.333	1240	2.1
319.53	1241	2.1
319.77	1242	2.1
320.011	1243	2.1
320.241	1244	2.2
320.46	1245	2.2
320.722	1246	2.2
321.018	1247	2.2
321.269	1248	2.2
321.576	1249	2.2
321.915	1250	2.2
322.156	1251	2.2
322.341	1252	2.2
322.582	1253	2.2
322.856	1254	2.2
323.064	1255	2.2
323.26	1256	2.2
323.479	1257	2.2
323.764	1258	2.2
324.016	1259	2.2
324.201	1260	2.2
324.376	1261	2.2
324.584	1262	2.2
324.858	1263	2.2
325.066	1264	2.2
325.328	1265	2.2
325.624	1266	2.2
325.854	1267	2.2
326.138	1268	2.2
326.39	1269	2.2
326.598	1270	2.2
326.773	1271	2.2
327.09	1272	2.2
327.287	1273	2.2
327.56	1274	2.2
327.899	1275	2.2
328.14	1276	2.2
328.392	1277	2.2
328.611	1278	2.2
328.862	1279	2.2
329.081	1280	2.2
329.333	1281	2.2
329.552	1282	2.2
329.792	1283	2.2
330.055	1284	2.2
330.296	1285	2.2
330.514	1286	2.2
330.766	1287	2.2
331.018	1288	2.3
331.204	1289	2.3
331.455	1290	2.3
331.685	1291	2.3
331.882	1292	2.3
332.09	1293	2.3
332.309	1294	2.3
332.528	1295	2.3
332.823	1296	2.3
333.053	1297	2.3
333.348	1298	2.3
333.611	1299	2.3
333.862	1300	2.3
334.125	1301	2.3
334.409	1302	2.3
334.672	1303	2.3
334.88	1304	2.3
335.088	1305	2.3
335.307	1306	2.3
335.536	1307	2.3
335.843	1308	2.3
336.072	1309	2.3
336.28	1310	2.3
336.532	1311	2.3
336.751	1312	2.3
337.057	1313	2.3
337.287	1314	2.3
337.506	1315	2.3
337.757	1316	2.3
337.998	1317	2.3
338.228	1318	2.3
338.457	1319	2.3
338.742	1320	2.3
338.928	1321	2.3
339.179	1322	2.3
339.464	1323	2.3
339.694	1324	2.3
339.956	1325	2.3
340.164	1326	2.3
340.339	1327	2.3
340.591	1328	2.3
340.81	1329	2.3
341.083	1330	2.3
341.269	1331	2.3
341.477	1332	2.4
341.773	1333	2.4
342.046	1334	2.4
342.287	1335	2.4
342.484	1336	2.4
342.703	1337	2.4
342.976	1338	2.4
343.228	1339	2.4
343.425	1340	2.4
343.72	1341	2.4
343.939	1342	2.4
344.201	1343	2.4
344.453	1344	2.4
344.759	1345	2.4
